# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Feb  5 13:10:30 2022
# CONSTRAINT:  where (pl_rade < 5) CONSTRAINT:  and (pl_massestr < 10)


pl_name,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim
Kepler-138 b,,,,,0.522,0.032,-0.032,0,0.06600,0.05900,-0.03700,0,,,,,3841.00,49.00,-49.00,0,0.44,0.02,-0.02,0
Kepler-444 e,,,,,0.500,0.030,-0.040,0,0.10000,0.20000,-0.10000,0,,,,,,,,,,,,
Kepler-138 b,0.076000,0.003300,-0.003300,0,0.701,0.066,-0.066,0,0.18700,0.05000,-0.05000,0,,,,,,,,,0.58,0.04,-0.04,0
Kepler-444 d,,,,,0.500,0.040,-0.040,0,0.20000,0.50000,-0.10000,0,,,,,,,,,,,,
TRAPPIST-1 d,0.022280,0.000000,0.000000,0,0.784,0.023,-0.023,0,0.29700,0.03900,-0.03500,0,,,,,,,,,,,,
TRAPPIST-1 h,0.061890,0.000530,-0.000530,0,0.755,0.014,-0.014,0,0.32600,0.02000,-0.02000,0,,,,,2566.00,26.00,-26.00,0,0.12,0.00,0.00,0
TRAPPIST-1 h,0.061935,0.000001,-0.000001,0,0.773,0.026,-0.027,0,0.33100,0.05600,-0.04900,0,,,,,,,,,,,,
LHS 1678 b,0.012510,0.000590,-0.000560,0,0.696,0.044,-0.044,0,0.35000,,,1,,,,,3490.00,50.00,-50.00,0,0.33,0.01,-0.01,0
TRAPPIST-1 d,0.022270,0.000190,-0.000190,0,0.788,0.011,-0.010,0,0.38800,0.01200,-0.01200,0,,,,,2566.00,26.00,-26.00,0,0.12,0.00,0.00,0
Kepler-33 c,,,,,2.600,0.550,-0.550,0,0.39000,1.24000,-0.32000,0,,,,,,,,,1.69,0.26,-0.42,0
L 98-59 b,0.021910,0.000800,-0.000840,0,0.850,0.061,-0.047,0,0.40000,0.16000,-0.15000,0,627,33,-36,0,3415.00,135.00,-135.00,0,0.30,0.03,-0.02,0
TRAPPIST-1 d,0.021440,0.000660,-0.000630,0,0.772,0.030,-0.030,0,0.41000,0.27000,-0.27000,0,288,6,-6,0,2559.00,50.00,-50.00,0,0.12,0.00,0.00,0
KOI-55 b,0.006000,,,0,0.759,,,0,0.44000,,,0,,,,,27730.00,270.00,-270.00,0,0.20,0.01,-0.01,0
Kepler-138 b,,,,,0.710,0.100,-0.100,0,0.50000,0.30000,-0.20000,0,,,,,,,,,0.55,,,0
Kepler-345 b,,,,,0.800,0.100,-0.100,0,0.50000,0.30000,-0.30000,0,,,,,,,,,,,,
GJ 367 b,0.007100,0.000200,-0.000200,0,0.718,0.054,-0.054,0,0.54600,0.07800,-0.07800,0,1745,43,-43,0,3522.00,70.00,-70.00,0,0.46,0.01,-0.01,0
Kepler-85 e,,,,,1.200,0.100,-0.100,0,0.60000,0.50000,-0.40000,0,,,,,,,,,,,,
TRAPPIST-1 e,0.028170,0.000830,-0.000870,0,0.918,0.039,-0.039,0,0.62000,0.58000,-0.58000,0,251,5,-5,0,2559.00,50.00,-50.00,0,0.12,0.00,0.00,0
Kepler-138 d,,,,,1.212,0.075,-0.075,0,0.64000,0.67400,-0.38700,0,,,,,3841.00,49.00,-49.00,0,0.44,0.02,-0.02,0
KOI-55 c,0.007600,,,0,0.867,,,0,0.65500,,,0,,,,,27730.00,270.00,-270.00,0,0.20,0.01,-0.01,0
TRAPPIST-1 f,0.037100,0.001100,-0.001100,0,1.045,0.038,-0.038,0,0.68000,0.18000,-0.18000,0,219,4,-4,0,2559.00,50.00,-50.00,0,0.12,0.00,0.00,0
TRAPPIST-1 e,0.029250,0.002500,-0.002500,0,0.920,0.013,-0.012,0,0.69200,0.02200,-0.02200,0,,,,,2566.00,26.00,-26.00,0,0.12,0.00,0.00,0
Kepler-128 b,,,,,1.430,0.090,-0.090,0,0.77000,0.48000,-0.25000,0,,,,,,,,,1.61,0.10,-0.07,0
TRAPPIST-1 e,0.029283,0.000000,0.000000,0,0.910,0.026,-0.027,0,0.77200,0.07900,-0.07500,0,,,,,,,,,,,,
GJ 9827 c,0.039250,0.000420,-0.000290,0,1.241,0.024,-0.026,0,0.84000,,,0,,,,,4340.00,40.00,-53.00,0,0.60,0.01,0.00,0
TRAPPIST-1 b,0.011110,0.000340,-0.000340,0,1.086,0.035,-0.035,0,0.85000,0.72000,-0.72000,0,400,8,-8,0,2559.00,50.00,-50.00,0,0.12,0.00,0.00,0
Kepler-128 c,,,,,1.340,0.080,-0.080,0,0.90000,0.58000,-0.29000,0,,,,,,,,,1.61,0.10,-0.07,0
TRAPPIST-1 f,0.038534,0.000000,0.000000,0,1.046,0.029,-0.030,0,0.93400,0.08000,-0.07800,0,,,,,,,,,,,,
Kepler-138 d,,,,,1.610,0.160,-0.150,0,1.01000,0.42000,-0.34000,0,,,,,3871.00,58.00,-58.00,0,0.54,0.05,-0.05,0
L 98-59 b,0.022820,0.000080,-0.000080,0,0.800,0.050,-0.050,0,1.01000,,,1,610,13,-13,0,3412.00,49.00,-49.00,0,0.31,0.01,-0.01,0
TRAPPIST-1 b,0.011548,0.000000,0.000000,0,1.121,0.031,-0.032,0,1.01700,0.15400,-0.14300,0,,,,,,,,,,,,
TRAPPIST-1 f,0.038490,0.000330,-0.000330,0,1.045,0.013,-0.012,0,1.03900,0.03100,-0.03100,0,,,,,2566.00,26.00,-26.00,0,0.12,0.00,0.00,0
TRAPPIST-1 g,0.046877,0.000000,0.000000,0,1.148,0.032,-0.033,0,1.14800,0.09800,-0.09500,0,,,,,,,,,,,,
TRAPPIST-1 c,0.015815,0.000000,0.000000,0,1.095,0.030,-0.031,0,1.15600,0.14200,-0.13100,0,,,,,,,,,,,,
Kepler-138 d,0.130100,0.005600,-0.005600,0,1.680,0.150,-0.150,0,1.17000,0.30000,-0.30000,0,,,,,,,,,0.58,0.04,-0.04,0
TRAPPIST-1 c,0.015800,0.000130,-0.000130,0,1.097,0.014,-0.012,0,1.30800,0.05600,-0.05600,0,,,,,2566.00,26.00,-26.00,0,0.12,0.00,0.00,0
TRAPPIST-1 g,0.046830,0.000400,-0.000400,0,1.129,0.015,-0.013,0,1.32100,0.03800,-0.03800,0,,,,,2566.00,26.00,-26.00,0,0.12,0.00,0.00,0
TRAPPIST-1 g,0.045100,0.001400,-0.001400,0,1.127,0.041,-0.041,0,1.34000,0.88000,-0.88000,0,199,4,-4,0,2559.00,50.00,-50.00,0,0.12,0.00,0.00,0
TRAPPIST-1 b,0.011540,0.000100,-0.000100,0,1.116,0.014,-0.012,0,1.37400,0.06900,-0.06900,0,,,,,2566.00,26.00,-26.00,0,0.12,0.00,0.00,0
TRAPPIST-1 c,0.015210,0.000470,-0.000470,0,1.056,0.035,-0.035,0,1.38000,0.61000,-0.61000,0,342,7,-7,0,2559.00,50.00,-50.00,0,0.12,0.00,0.00,0
LHS 1678 c,0.033100,0.001600,-0.001500,0,0.982,0.064,-0.063,0,1.40000,,,1,,,,,3490.00,50.00,-50.00,0,0.33,0.01,-0.01,0
GJ 9827 c,0.042900,0.004200,-0.004800,0,1.240,0.110,-0.110,0,1.45000,0.58000,-0.57000,0,771,31,-18,0,4219.00,70.00,-70.00,0,0.62,0.05,-0.05,0
Kepler-307 c,,,,,2.800,1.050,-0.410,0,1.50000,0.50000,-0.40000,0,,,,,,,,,1.08,0.41,-0.16,0
TOI-178 b,0.026070,0.000780,-0.000780,0,1.152,0.073,-0.070,0,1.50000,0.39000,-0.44000,0,1040,22,-21,0,4316.00,70.00,-70.00,0,0.65,0.01,-0.01,0
LTT 1445 A c,0.026610,0.000470,-0.000490,0,1.147,0.055,-0.054,0,1.54000,0.20000,-0.19000,0,508,25,-25,0,3340.00,150.00,-150.00,0,0.27,0.01,-0.01,0
TOI-270 b,0.031970,0.000220,-0.000220,0,1.206,0.039,-0.039,0,1.58000,0.26000,-0.26000,0,581,14,-14,0,3506.00,70.00,-70.00,0,0.38,0.01,-0.01,0
TOI-561 b,0.010550,0.000080,-0.000080,0,1.423,0.066,-0.066,0,1.59000,0.36000,-0.36000,0,,,,,5455.00,65.00,-47.00,0,0.85,0.01,-0.01,0
Kepler-138 c,,,,,1.750,0.100,-0.100,0,1.60000,2.40000,-0.80000,0,,,,,,,,,0.55,,,0
GJ 1132 b,,,,,1.160,0.110,-0.110,0,1.62000,0.55000,-0.55000,0,409,11,-11,0,3270.00,140.00,-140.00,0,0.21,0.02,-0.02,0
GJ 1132 b,0.015330,0.000530,-0.000530,0,1.430,0.160,-0.160,0,1.63000,0.54000,-0.54000,0,644,38,-38,0,,,,,0.26,0.02,-0.02,0
K2-138 f,0.104470,0.000700,-0.000880,0,2.904,0.164,-0.111,0,1.63000,2.12000,-1.18000,0,,,,,5356.30,41.80,-13.10,0,0.86,0.03,-0.02,0
